vehicle_id,v_out_of_service,v_maintenance,device_id,transmitting_dur,not_transmitting_dur,transmission_level,report_start_at,updated_at
65,0,0,2628,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
69,0,0,2455,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
70,0,0,2461,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
72,0,0,2640,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
74,0,0,2696,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
76,0,0,2453,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
79,0,0,2630,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
83,0,0,2615,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
84,0,0,2439,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
88,0,0,2609,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
89,0,0,2639,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
91,0,1,2642,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
95,0,0,2627,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
96,0,0,2620,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
98,0,0,2619,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
99,0,0,2733,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
101,0,0,2432,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
105,0,0,2731,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
106,0,0,2718,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
108,0,0,2429,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
109,0,0,2431,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
110,0,0,2618,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
111,0,0,2442,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
113,0,0,2700,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
115,0,0,2706,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
117,0,0,,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
119,0,0,2623,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
120,0,0,2610,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
127,0,0,2423,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
128,0,0,2714,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
133,0,0,,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
134,0,0,,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
137,0,0,,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
138,0,0,,0,86400,2,2023-03-28 11:00:00,2023-03-29 11:29:48.910138
16,0,0,1714,0,86400,2,2023-03-27 22:00:00,2023-03-28 22:18:19.484611
44,0,0,3612,0,86400,2,2023-03-27 22:00:00,2023-03-28 22:18:19.484611
